"film link","film link-href","rating","rated by","runtime","director","director-href","writers","top cast","top cast-href","genres","review count","year of release","country of release","production companies","budget currency","budget","gross worldwide"
"Enough Is Enough","https://www.imdb.com/title/tt3411668/?ref_=adv_li_tt",NA,NA,NA,"Sharat Saxena","https://www.imdb.com/name/nm0768296/?ref_=tt_ov_st",NA,"Sharat Saxena","https://www.imdb.com/name/nm0768296/?ref_=tt_cl_t_1","Action",NA,2019,"India",NA,"$",5e+05,NA
"Enough Is Enough","https://www.imdb.com/title/tt3411668/?ref_=adv_li_tt",NA,NA,NA,"Sharat Saxena","https://www.imdb.com/name/nm0768296/?ref_=tt_ov_st",NA,"Kiran Kumar","https://www.imdb.com/name/nm0474820/?ref_=tt_cl_t_2","Action",NA,2019,"India",NA,"$",5e+05,NA
"Mahabali Bal Ganesh","https://www.imdb.com/title/tt15742038/?ref_=adv_li_tt",NA,NA,NA,"Vijay S. Bhanushali","https://www.imdb.com/name/nm4695372/?ref_=tt_ov_dr","Lily V. BhanushaliDeepak K. Dogra",NA,NA,"Family",NA,2019,"India","Gold Toonz",NA,NA,NA
"An Ungodly Tie","https://www.imdb.com/title/tt9864578/?ref_=adv_li_tt",NA,NA,NA,"Himanshu Binekar","https://www.imdb.com/name/nm10501607/?ref_=tt_ov_dr","Neeraj Hinge(Story, Script and Screenplay)Aarti Karla(dialogue)","Mohanti Kesarwani","https://www.imdb.com/name/nm10515630/?ref_=tt_cl_t_1","Horror",NA,2019,"India","24HRS Creative Motion","₹",67500000,NA
"An Ungodly Tie","https://www.imdb.com/title/tt9864578/?ref_=adv_li_tt",NA,NA,NA,"Himanshu Binekar","https://www.imdb.com/name/nm10501607/?ref_=tt_ov_dr","Neeraj Hinge(Story, Script and Screenplay)Aarti Karla(dialogue)","Trisha Nandwani","https://www.imdb.com/name/nm10515627/?ref_=tt_cl_t_2","Horror",NA,2019,"India","24HRS Creative Motion","₹",67500000,NA
"An Ungodly Tie","https://www.imdb.com/title/tt9864578/?ref_=adv_li_tt",NA,NA,NA,"Himanshu Binekar","https://www.imdb.com/name/nm10501607/?ref_=tt_ov_dr","Neeraj Hinge(Story, Script and Screenplay)Aarti Karla(dialogue)","Himansh Sajwan","https://www.imdb.com/name/nm10515629/?ref_=tt_cl_t_3","Horror",NA,2019,"India","24HRS Creative Motion","₹",67500000,NA
"An Ungodly Tie","https://www.imdb.com/title/tt9864578/?ref_=adv_li_tt",NA,NA,NA,"Himanshu Binekar","https://www.imdb.com/name/nm10501607/?ref_=tt_ov_dr","Neeraj Hinge(Story, Script and Screenplay)Aarti Karla(dialogue)","Pradeep Tirpathi","https://www.imdb.com/name/nm10515628/?ref_=tt_cl_t_4","Horror",NA,2019,"India","24HRS Creative Motion","₹",67500000,NA
"Slumdog Karodpati","https://www.imdb.com/title/tt12247534/?ref_=adv_li_tt",NA,NA,NA,"Rajesh Patole","https://www.imdb.com/name/nm8001235/?ref_=tt_ov_dr","Udhav Garje","Udhav Garje","https://www.imdb.com/name/nm11545743/?ref_=tt_cl_t_1","Thriller",NA,2019,"India",NA,"₹",7e+06,NA
"Slumdog Karodpati","https://www.imdb.com/title/tt12247534/?ref_=adv_li_tt",NA,NA,NA,"Rajesh Patole","https://www.imdb.com/name/nm8001235/?ref_=tt_ov_dr","Udhav Garje","Rahul Gavane","https://www.imdb.com/name/nm11545748/?ref_=tt_cl_t_2","Thriller",NA,2019,"India",NA,"₹",7e+06,NA
"Slumdog Karodpati","https://www.imdb.com/title/tt12247534/?ref_=adv_li_tt",NA,NA,NA,"Rajesh Patole","https://www.imdb.com/name/nm8001235/?ref_=tt_ov_dr","Udhav Garje","Govindrao","https://www.imdb.com/name/nm11545741/?ref_=tt_cl_t_3","Thriller",NA,2019,"India",NA,"₹",7e+06,NA
